feature,KMeans_k1_accuracy,KMeans_k1_time_sec,KMeans_k4_accuracy,KMeans_k4_time_sec,KMeans_k16_accuracy,KMeans_k16_time_sec,KMeans_k32_accuracy,KMeans_k32_time_sec,SVM_linear_accuracy,SVM_linear_time_sec,SVM_rbf_accuracy,SVM_rbf_time_sec
DCT_225,0.9155,0.22174417000132962,0.959,0.6541949740003474,0.976,1.9490145780000603,0.979,3.4664100169993617,0.9815,0.7191963130007935,0.9855,1.847736300998804
PCA_95,0.9165,0.1188066990016523,0.9595,0.6265959000011208,0.9775,1.6687373320000916,0.9775,2.531726978999359,0.9785,0.5935704319999786,0.9895,2.0535139100011293
HOG,0.969,6.676960681999844,0.9865,14.984095878000517,0.994,22.07951068500006,0.9935,33.54423979300009,0.997,4.611604880999948,0.998,11.6854845809994
